Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.128-192.168.137.129-8443-57690-6,192.168.137.129,57690,192.168.137.128,8443,6,15/03/2025 09:32:40 AM,98359099,18,14,1194.0,2846.0,517.0,0.0,66.33333333333331,165.951091306693,1246.0,0.0,203.2857142857143,444.327915737124,41.07398340442301,0.3253384824112714,3172874.1612903224,13118813.212312214,67747926.0,12.0,98359087.0,5785828.647058822,17510875.352115802,67747926.0,50.0,98358955.0,7566073.461538461,19863490.26163229,67750433.0,168.0,0,0,0,0,580,452,0.1830028963563401,0.1423355860549312,0.0,1246.0,122.42424242424238,316.1234954791235,99934.0643939394,0,0,1,0,0,0,0,0,0.0,126.25,66.33333333333333,203.28571428571428,0,0,0,0,0,0,18,1194,14,2846,-1,506,4,0,221151.0,312737.77296962385,442290.0,12.0,48750190.0,26866855.905583598,67747926.0,29752454.0,SSL
192.168.137.128-192.168.137.129-8443-54806-6,192.168.137.128,8443,192.168.137.129,54806,6,15/03/2025 09:34:18 AM,292376,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,437.7924316633376,10.260760117109475,146188.0,206732.56697482377,292370.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.84050674473965,3.420253372369825,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55926-6,192.168.137.128,8443,192.168.137.129,55926,6,15/03/2025 09:34:18 AM,291315,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,439.3869179410604,10.298130889243602,145657.5,205774.437286316,291162.0,153.0,153.0,153.0,0.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.865420592829069,3.4327102964145344,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55062-6,192.168.137.128,8443,192.168.137.129,55062,6,15/03/2025 09:34:18 AM,293557,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,436.0311626021522,10.219480373487942,146778.5,207560.58901559323,293546.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.8129869156586285,3.4064934578293142,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55762-6,192.168.137.128,8443,192.168.137.129,55762,6,15/03/2025 09:34:18 AM,333607,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,383.6849946194175,8.992617061392597,166803.5,235881.62981567683,333597.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,5.995078040928398,2.997539020464199,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55930-6,192.168.137.128,8443,192.168.137.129,55930,6,15/03/2025 09:34:18 AM,318109,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,402.3778013196735,9.430729718429848,159054.5,224924.3031344101,318100.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.287153145619898,3.143576572809949,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55098-6,192.168.137.128,8443,192.168.137.129,55098,6,15/03/2025 09:34:18 AM,320780,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,399.0273707837147,9.352204002743314,160390.0,226810.1569198346,320769.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.234802668495542,3.117401334247771,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55750-6,192.168.137.128,8443,192.168.137.129,55750,6,15/03/2025 09:34:18 AM,337905,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,378.80469362690695,8.878235006880631,168952.5,238827.4366661,337829.0,76.0,76.0,76.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,5.918823337920421,2.9594116689602106,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55802-6,192.168.137.128,8443,192.168.137.129,55802,6,15/03/2025 09:34:18 AM,341511,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,374.8049111156009,8.784490104271898,170755.5,241476.2586684248,341505.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,5.8563267361812645,2.9281633680906323,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56500-6,192.168.137.128,8443,192.168.137.129,56500,6,15/03/2025 09:34:18 AM,292369,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,437.8029134415756,10.261005783786928,146184.5,206663.9776170487,292318.0,51.0,51.0,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.8406705225246185,3.420335261262309,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
